"","state","age","cit","sex","educ","race","hisp","pwsswgt"
"44434",48,35,4,1,3,1,2,5436.002
"44435",48,36,1,2,2,1,2,5024.4057
"44436",17,75,1,2,4,1,2,4277.7154
"44437",17,80,1,1,3,1,2,3202.7387
"44438",17,75,1,2,2,1,2,3222.796
"44439",37,27,1,2,4,1,2,4078.711
"44440",37,27,1,2,4,1,2,4078.711
"44441",17,72,1,1,2,2,2,4386.009
"44442",17,65,4,1,6,4,2,5844.1081
"44443",17,58,4,2,2,4,2,6273.6939
"44444",37,69,1,1,8,1,1,4246.6553
"44445",37,64,1,2,5,1,1,4340.4307
"44446",47,58,1,1,4,1,2,2996.8011
"44447",27,60,1,2,4,1,2,4840.1228
"44448",27,64,1,1,2,1,2,4334.8108
"44449",27,31,1,1,2,1,2,4186.5418
"44450",27,53,1,2,4,1,2,3905.7276
"44451",27,56,1,1,3,1,2,3836.0098
"44452",27,22,1,1,2,1,2,4389.3935
"44453",17,40,1,2,7,1,2,4309.2048
"44454",17,40,1,1,5,1,2,3736.1921
"44455",17,78,1,2,1,1,2,4001.817
"44456",17,54,1,2,6,1,2,5013.3195
"44457",12,74,1,2,3,1,2,4795.4073
"44458",12,25,1,2,3,1,2,5348.7203
"44459",17,76,1,2,2,1,2,4260.6787
"44460",17,69,1,1,2,1,2,4377.914
"44461",47,29,1,2,2,1,2,3695.1277
"44462",47,25,1,1,2,1,2,2864.9665
"44463",17,24,1,1,3,1,2,5018.3563
"44464",17,24,1,1,5,1,2,5018.3563
"44465",17,40,1,1,6,1,2,3880.3325
"44466",47,67,1,1,8,1,2,3856.271
"44467",17,67,1,2,5,1,2,3899.8204
"44468",4,75,1,2,2,3,2,4826.2747
"44469",4,33,1,1,2,3,2,9731.4022
"44470",4,39,1,1,1,3,1,7075.3438
"44471",4,44,1,2,1,3,2,7866.5952
"44472",4,28,1,2,1,3,1,6797.5609
"44473",4,40,1,1,1,3,2,8524.3061
"44474",54,74,1,2,3,1,2,744.0598
"44475",54,74,1,1,2,1,2,753.9154
"44476",34,34,4,2,2,4,2,3831.3325
"44477",24,44,1,2,6,1,2,4095.6591
"44478",24,46,1,1,3,1,2,5388.8633
"44479",34,85,4,1,6,4,2,6680.811
"44480",17,77,1,1,6,4,2,4724.6359
